Instanztyp,vCPUs,RAM,HostedDolt,AWS,Azure,GoogleCloud
T,2,4,0.07,0.18,0.09,0.11
M4,2,8,0.60,,,0.14
M4,4,16,1.20,,,0.28
M4,8,32,2.40,,,0.55
M4,16,64,4.80,,,1.11
M4,40,160,12.00,,,2.77
M4,64,256,19.20,,,4.44
M5,2,8,0.52,0.20,0.20,0.14
M5,4,16,1.03,0.39,0.39,0.28
M5,8,32,2.06,0.78,0.78,0.55
M5,16,64,4.13,1.56,1.56,1.11
M5,32,128,8.26,3.12,3.12,2.22
M5,48,192,12.38,4.68,4.68,3.33
M5,64,256,16.51,6.24,6.24,4.44
M5,96,384,24.77,9.36,9.36,6.65
R5,2,16,0.89,0.27,0.26,0.19
R5,4,32,1.79,0.53,0.52,0.39
R5,8,64,3.58,1.06,1.05,0.78
R5,16,128,7.15,2.12,2.10,1.56
R5,32,256,14.30,4.24,4.19,3.11
R5,48,384,21.46,6.36,6.29,4.67
R5,64,512,28.61,8.48,,6.23
R5,96,768,42.91,12.72,,9.34
